"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US22103000M07","M07, St. Tammany Parish, Louisiana","855","750","105"
"7000000US22103000M08","M08, St. Tammany Parish, Louisiana","951","793","158"
"7000000US22103000M09","M09, St. Tammany Parish, Louisiana","534","489","45"
"7000000US22103000M10","M10, St. Tammany Parish, Louisiana","797","775","22"
"7000000US22103000M11","M11, St. Tammany Parish, Louisiana","475","454","21"
"7000000US22103000M12","M12, St. Tammany Parish, Louisiana","367","334","33"
"7000000US22103000MD1","MD1, St. Tammany Parish, Louisiana","594","540","54"
"7000000US22103000P01","P01, St. Tammany Parish, Louisiana","992","889","103"
"7000000US22103000S01","S01, St. Tammany Parish, Louisiana","610","581","29"
"7000000US22103000S02","S02, St. Tammany Parish, Louisiana","361","341","20"
"7000000US22103000S03","S03, St. Tammany Parish, Louisiana","555","532","23"
"7000000US22103000S04","S04, St. Tammany Parish, Louisiana","498","478","20"
"7000000US22103000S05","S05, St. Tammany Parish, Louisiana","768","726","42"
"7000000US22103000S06","S06, St. Tammany Parish, Louisiana","852","779","73"
"7000000US22103000S07","S07, St. Tammany Parish, Louisiana","457","439","18"
"7000000US22103000S08","S08, St. Tammany Parish, Louisiana","665","645","20"
"7000000US22103000S09","S09, St. Tammany Parish, Louisiana","299","297","2"
"7000000US22103000S10","S10, St. Tammany Parish, Louisiana","791","730","61"
"7000000US22103000S11","S11, St. Tammany Parish, Louisiana","500","487","13"
"7000000US22103000S13","S13, St. Tammany Parish, Louisiana","375","349","26"
"7000000US22103000S15","S15, St. Tammany Parish, Louisiana","716","659","57"
"7000000US22103000S16","S16, St. Tammany Parish, Louisiana","520","474","46"
"7000000US22103000S17","S17, St. Tammany Parish, Louisiana","698","679","19"
"7000000US22103000S18","S18, St. Tammany Parish, Louisiana","546","447","99"
"7000000US22103000S19","S19, St. Tammany Parish, Louisiana","598","546","52"
"7000000US22103000S20","S20, St. Tammany Parish, Louisiana","757","615","142"
"7000000US22103000S21","S21, St. Tammany Parish, Louisiana","619","569","50"
"7000000US22103000S22","S22, St. Tammany Parish, Louisiana","1120","1075","45"
"7000000US22103000S23","S23, St. Tammany Parish, Louisiana","223","196","27"
"7000000US22103000S24","S24, St. Tammany Parish, Louisiana","437","402","35"
"7000000US22103000S25","S25, St. Tammany Parish, Louisiana","465","441","24"
"7000000US22103ZZZZZZ","Voting Districts Not Defined, St. Tammany Parish, Louisiana","0","0","0"
