"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"620L200US22020","State House District 20 (2010), Louisiana","15482","409","74.8","1.3","24.3","1.3","0.0","0.2","0.1","0.1","0.0","0.2","0.4","0.3","0.5","0.3","1.2","0.5","74.0","1.2","4.1","1.0","32.3","1.5","37.6","1.4","26.1","1.2","10871","407","40.7","2.5","59.3","2.5","69.2","2.7","23.6","2.5","7.2","1.5","4611","397","51.9","3.4","47.7","3.8","4.2","2.2","48.1","3.4","39.4","3.6","8.8","3.1","22.8","(X)","23.7","(X)","18.7","(X)","35140","2718","42167","2384","17148","2136","-","**","15625","22517","-","**","46809","31612","41250","19004","44890","2568","42156","2482","32386","17950","42984","3657","38945","3238","22478","3051","41730","2760","42101","5475","41503","3319","51383","2228","20140","3054","30426","10334","17418","2206","13452","1354","13119","1524","21563","18691","30907","8661","24063","5183","44464","18423","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22021","State House District 21 (2010), Louisiana","14074","571","46.1","1.9","52.9","1.9","0.3","0.3","0.1","0.1","0.0","0.2","0.2","0.2","0.4","0.3","0.8","0.4","45.5","1.9","3.2","1.0","30.5","2.6","41.7","2.1","24.6","1.4","9346","533","42.5","3.7","57.5","3.7","57.4","3.1","34.9","3.6","7.7","1.9","4728","439","56.4","6.3","54.3","6.1","2.1","1.6","43.6","6.3","38.6","5.2","4.9","2.5","29.0","(X)","32.6","(X)","21.0","(X)","25586","2122","40883","2491","17882","2605","13750","25607","31250","29196","-","**","22000","66814","36000","41711","21989","47259","40814","2539","13443","3922","25944","3911","31867","4203","21101","2494","33837","2578","28285","4645","38790","3985","48763","5353","15042","2253","45391","11331","13294","1496","11586","1386","11345","1310","19830","6859","22038","7857","16078","11039","27500","11923","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22022","State House District 22 (2010), Louisiana","16101","440","83.9","1.1","14.4","1.0","0.6","0.3","0.1","0.1","0.0","0.2","0.3","0.2","0.6","0.3","1.2","0.4","82.9","1.2","3.2","0.8","33.6","1.5","39.0","1.4","24.3","1.2","11612","493","42.2","2.1","57.8","2.1","75.6","2.3","19.8","2.2","4.6","1.1","4489","367","54.6","3.6","50.2","3.5","4.3","1.9","45.4","3.6","41.8","3.5","3.7","1.5","22.2","(X)","23.1","(X)","19.4","(X)","37094","1776","41031","2233","20649","2233","22065","5630","250,000+","***","-","**","21389","54117","20750","28886","40323","3858","41144","2587","21328","8160","46847","5396","43481","3285","23363","2440","46976","3261","47500","5595","46606","3681","57216","3582","21256","1805","30921","8167","17476","2018","14256","1172","14002","1444","25063","17510","25938","3924","24104","4902","41979","7280","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22023","State House District 23 (2010), Louisiana","15624","319","59.1","0.9","37.4","0.9","0.8","0.2","0.5","0.1","0.1","0.1","0.9","0.3","1.2","0.2","1.5","0.3","58.1","1.0","11.1","1.1","29.7","1.2","36.4","1.3","22.9","0.9","9975","280","43.3","1.5","56.7","1.5","66.0","1.7","27.3","1.6","6.6","1.2","5649","274","56.0","2.4","48.1","2.3","7.9","1.5","44.0","2.4","36.3","2.5","7.7","1.4","27.7","(X)","27.7","(X)","26.1","(X)","30582","1341","42302","2727","18708","2146","21429","9513","36667","16626","4000","28056","31458","13150","24625","10481","19740","2865","42841","2437","12313","2705","36730","2757","38497","4030","24246","846","41999","2409","36585","3944","44594","2410","60400","1569","16421","1072","25625","1951","15916","1051","13456","1528","12875","1535","16094","4732","19702","4019","16914","2004","28576","3544","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22024","State House District 24 (2010), Louisiana","17149","335","77.4","1.2","15.6","1.0","3.7","0.5","0.3","0.2","0.1","0.1","0.3","0.2","2.5","0.5","1.8","0.3","76.4","1.2","3.6","0.6","30.2","1.2","39.5","1.0","26.6","0.9","12277","402","41.5","1.7","58.5","1.7","75.0","1.8","18.6","1.6","6.4","1.2","4872","342","51.6","2.7","46.7","3.0","4.9","1.4","48.4","2.7","43.5","2.9","4.9","1.4","27.4","(X)","28.6","(X)","22.8","(X)","37763","1709","42014","2036","19962","2417","36786","6031","27361","53524","95208","107324","41250","51079","30069","16292","33125","10309","42275","2083","22292","9179","45621","3436","43924","2910","25759","1997","47246","1998","49099","4222","46400","2257","57425","3152","18758","1686","38342","5880","17202","1259","15729","1050","14853","1018","34375","23070","21339","4760","19514","3848","35278","16774","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22025","State House District 25 (2010), Louisiana","18089","474","76.1","1.9","18.7","1.7","1.5","0.4","1.8","0.6","0.0","0.2","0.7","0.4","1.2","0.4","1.8","0.6","75.2","1.9","6.9","1.0","32.6","1.7","36.2","1.7","24.2","1.3","12843","493","46.9","2.4","53.1","2.4","76.6","2.1","17.8","2.2","5.6","1.4","5246","501","57.7","3.8","51.3","3.6","6.4","2.1","42.3","3.8","34.3","3.5","8.0","2.4","22.9","(X)","24.6","(X)","18.4","(X)","49559","2490","52702","2712","37988","4100","55066","20049","49792","18127","-","**","105962","68714","54659","13657","39700","61585","52845","2608","29674","5231","58250","4119","60208","4955","35294","2967","59426","2883","57866","4357","61287","4680","68129","4475","26076","5062","47113","13250","29959","3605","24974","5044","21567","3874","41813","17729","38371","5709","35224","6998","65500","25191","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22026","State House District 26 (2010), Louisiana","14625","473","34.6","1.5","62.0","1.6","0.7","0.4","1.1","0.4","0.1","0.1","0.5","0.4","0.9","0.4","1.0","0.5","34.2","1.5","5.3","1.2","33.6","1.7","39.6","1.9","21.5","1.6","9259","435","49.6","2.6","50.4","2.6","48.7","3.3","43.7","3.0","7.5","2.0","5366","432","63.2","4.3","57.4","4.2","5.8","2.5","36.8","4.3","31.1","4.4","5.8","1.8","26.6","(X)","29.1","(X)","21.6","(X)","26406","1708","35710","2973","22337","1432","52500","105883","73125","29416","-","**","27850","6414","30417","18519","34500","18530","35528","3165","12647","4511","27398","3376","32221","2745","24261","1886","33703","2352","26121","2534","42089","4550","56489","3937","19676","1844","28425","4631","18380","1643","16432","1864","15200","1675","27500","11496","23642","4104","19624","4104","33996","3439","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22027","State House District 27 (2010), Louisiana","17038","513","87.8","1.2","8.8","1.1","0.8","0.3","0.6","0.3","0.0","0.2","1.0","0.4","1.0","0.4","3.4","0.6","85.3","1.3","3.7","0.6","32.5","1.6","41.6","1.5","22.1","1.2","12309","428","43.1","2.1","56.9","2.1","77.9","1.9","17.3","1.7","4.8","0.9","4729","363","54.7","4.1","51.0","4.1","3.8","1.3","45.3","4.1","37.9","4.4","7.3","2.1","21.7","(X)","22.8","(X)","18.1","(X)","45381","1548","47470","2210","33036","4408","42250","15447","58077","10967","-","**","53125","63898","39375","27833","46159","7051","47981","2407","25625","9556","50060","3386","54432","4474","31280","2979","55692","2552","53552","3897","57075","2500","64870","2750","24204","2150","44805","8011","23198","3719","21239","2806","19958","2368","27157","15128","28679","8113","24760","10039","41964","32867","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22028","State House District 28 (2010), Louisiana","15767","357","73.5","1.3","24.0","1.3","0.8","0.3","0.6","0.2","0.0","0.2","0.1","0.1","1.1","0.5","0.9","0.5","73.0","1.3","5.1","1.0","32.2","1.5","38.6","1.3","24.1","1.2","11055","403","46.3","2.8","53.7","2.8","66.2","2.8","26.2","2.5","7.6","2.0","4712","370","54.1","4.5","51.5","4.3","2.6","1.5","45.9","4.5","36.4","4.4","9.5","3.2","20.7","(X)","21.8","(X)","17.4","(X)","31412","2434","36980","2244","23410","2892","54271","32011","2,500-","***","-","**","-","**","24797","6573","38750","10160","36773","2230","26350","4993","39583","6033","38463","3758","18654","2110","38738","2903","33981","4966","41852","3017","53736","3900","20294","3258","35973","2289","15990","1834","12937","1062","12541","1266","33451","11828","21549","4399","18904","1441","42813","20892","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22029","State House District 29 (2010), Louisiana","14730","402","12.2","1.6","84.6","1.8","0.0","0.2","2.0","0.8","0.0","0.2","0.7","0.7","0.5","0.3","1.8","1.0","11.3","1.5","4.7","1.6","38.9","2.4","39.4","2.4","17.0","1.6","10235","450","50.8","3.3","49.2","3.3","49.7","3.7","43.3","3.5","7.0","1.9","4495","366","53.6","5.3","49.9","5.6","3.7","1.8","46.4","5.3","39.9","5.4","6.5","3.3","45.5","(X)","46.2","(X)","40.8","(X)","34220","2087","35990","9306","33951","2521","-","**","33846","30095","-","**","68180","78800","13681","16377","49808","41847","34839","11534","16506","9138","35490","5279","39364","4058","28573","3392","39752","3251","33382","2095","49147","3796","56387","4830","25000","4662","39345","13656","20282","2934","18887","3430","18117","2855","37039","26217","21885","5610","21521","4854","31563","43857","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22030","State House District 30 (2010), Louisiana","15496","441","70.7","1.2","22.3","1.1","0.7","0.2","1.5","0.4","0.8","0.3","1.2","0.5","2.7","0.6","5.7","0.7","66.9","1.2","8.2","1.1","42.2","1.4","32.3","1.2","17.4","0.9","10814","399","51.6","2.1","48.4","2.1","72.2","2.0","20.3","1.7","7.4","1.2","4682","245","50.0","2.7","44.9","2.8","5.1","1.5","50.0","2.7","41.2","3.2","8.8","2.3","28.5","(X)","29.1","(X)","26.1","(X)","41158","1160","42880","1745","36654","1941","45227","9678","36071","15554","62011","31872","55625","19612","25427","5457","46920","7250","42847","1755","27372","6060","44007","2239","48207","4625","30444","2500","47192","2062","41559","1724","54606","2166","56232","2485","21901","1759","43423","2688","25734","1638","19977","1685","19119","1656","33170","6032","35313","3263","33720","3654","43542","17132","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22031","State House District 31 (2010), Louisiana","18435","517","87.2","1.7","8.7","1.4","0.6","0.4","1.8","0.7","0.5","0.8","0.5","0.4","0.8","0.4","2.4","0.8","85.3","1.8","6.3","1.5","38.1","2.2","40.4","1.8","15.2","1.3","13673","512","50.1","2.5","49.9","2.5","78.7","2.6","15.9","2.3","5.4","1.7","4762","432","54.6","6.0","42.7","6.0","11.9","4.8","45.4","6.0","38.7","6.7","6.7","2.9","31.3","(X)","31.1","(X)","30.6","(X)","59630","2648","63657","2960","31083","2493","6645","7247","49643","31261","-","**","70625","194192","46354","27497","34554","8794","64306","3120","29137","7399","66409","4890","69810","6232","34813","2749","68668","4918","71310","6306","65830","7054","80901","5537","31777","2464","50797","18027","36659","5719","28923","5996","21824","6612","47668","2667","50563","10715","48000","13419","52463","40487","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22032","State House District 32 (2010), Louisiana","15022","361","85.5","1.3","11.0","1.0","1.5","0.4","0.5","0.2","0.0","0.2","0.2","0.1","1.4","0.4","1.0","0.4","84.8","1.4","5.0","1.1","32.8","1.3","40.5","1.5","21.8","0.9","11358","367","47.0","2.3","53.0","2.3","77.0","2.2","16.9","1.9","6.0","1.2","3664","261","52.1","4.0","49.1","3.9","3.1","1.7","47.9","4.0","42.4","4.1","5.5","2.0","37.0","(X)","38.3","(X)","30.2","(X)","41128","1461","43010","2030","25048","4935","43977","17252","56094","44593","-","**","51406","26064","43125","17351","36154","18648","43117","2046","26500","6241","51629","2421","43832","4180","26724","2962","47669","2099","48964","2718","46141","3246","54744","1888","22373","3140","41693","4356","21222","2101","16289","2583","15026","1685","41625","17499","30472","3359","29306","4258","43750","11776","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22033","State House District 33 (2010), Louisiana","17082","387","88.4","1.6","9.3","1.4","0.5","0.3","0.3","0.4","0.1","0.1","0.6","0.4","0.9","0.5","1.4","0.6","87.6","1.6","5.5","1.1","32.2","2.0","39.9","2.0","22.4","1.4","12372","385","44.5","2.4","55.5","2.4","73.4","2.4","20.1","2.2","6.5","1.4","4710","419","49.0","4.9","42.8","4.7","6.2","2.9","51.0","4.9","40.9","5.0","10.1","3.0","29.2","(X)","31.0","(X)","24.0","(X)","45868","2301","49688","3921","25459","4670","30395","33444","22663","33869","-","**","51500","62605","57875","28856","59044","17299","49559","3964","39688","9269","56565","5507","58739","5546","26305","2203","53427","2736","56283","5758","50558","3902","67843","3892","21618","2795","38766","4625","27030","3511","19032","3460","16737","1075","68867","41673","34923","8945","33259","8042","45250","20624","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22034","State House District 34 (2010), Louisiana","15984","439","29.6","1.7","68.2","1.7","0.3","0.3","0.4","0.3","0.0","0.2","0.9","0.6","0.5","0.5","1.3","0.6","29.1","1.7","6.0","1.3","32.6","2.0","38.5","2.2","22.9","1.5","10081","472","41.5","2.8","58.5","2.8","50.8","3.3","38.4","3.2","10.8","2.0","5903","484","59.5","4.6","53.3","4.4","6.2","2.2","40.5","4.6","33.2","4.6","7.3","2.4","38.0","(X)","41.0","(X)","29.2","(X)","30000","2516","35680","3121","26394","1307","21875","46778","75917","12604","-","**","92664","152399","41589","66566","22270","28812","35953","2720","19219","6073","32253","3712","35130","2312","23186","2669","35379","2582","27906","4102","39534","3700","53229","6181","21553","2316","33183","7267","19149","2041","14950","2275","13452","1763","40119","12661","24857","2836","22643","5805","34500","20184","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22035","State House District 35 (2010), Louisiana","17151","465","86.4","1.6","12.1","1.6","0.2","0.2","0.1","0.1","0.0","0.2","0.6","0.3","0.6","0.3","2.3","0.7","84.9","1.6","6.1","1.5","34.8","2.0","40.5","2.1","18.7","1.4","12244","485","46.6","2.4","53.4","2.4","78.4","3.3","16.9","2.7","4.7","1.7","4907","418","56.8","4.8","49.5","4.7","7.3","2.3","43.2","4.8","35.2","4.9","8.0","2.6","30.2","(X)","29.0","(X)","31.0","(X)","47169","3178","50496","2874","29614","7062","55655","44288","-","**","-","**","64740","89680","80962","89190","37544","10206","50807","2666","37896","9016","52995","5789","53632","5515","30340","5334","55482","4158","57171","8208","54429","3668","66727","4118","27500","3652","35581","8584","25999","3126","21688","2162","20617","1718","46080","18500","40579","9696","33695","12613","70552","28261","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22036","State House District 36 (2010), Louisiana","18464","511","88.8","1.7","8.3","1.5","0.2","0.3","1.9","0.6","0.0","0.2","0.1","0.1","0.7","0.3","1.2","0.5","87.9","1.8","7.3","1.3","31.9","2.1","39.8","1.8","21.0","1.3","12422","489","47.1","2.3","52.9","2.3","81.0","2.4","14.8","2.2","4.1","1.3","6042","462","49.3","4.8","44.9","4.5","4.4","2.2","50.7","4.8","38.4","4.3","12.3","3.2","25.9","(X)","26.4","(X)","24.5","(X)","54448","1922","56108","2354","35396","9261","103477","16781","52692","16888","-","**","50625","9065","47083","74423","50500","30682","56168","2356","24777","10762","57844","5219","71259","2648","35534","4022","69598","3396","71480","4310","66148","7451","79375","5981","31674","6312","38075","3402","28806","2459","25558","6091","22163","5411","40641","19516","33088","5155","30444","6623","38589","7971","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22037","State House District 37 (2010), Louisiana","16997","433","83.0","1.3","15.1","1.3","0.4","0.4","0.2","0.1","0.0","0.2","0.7","0.4","0.6","0.4","1.2","0.3","82.5","1.4","4.5","1.3","32.8","1.9","39.8","1.8","22.8","1.2","12373","516","43.3","2.1","56.7","2.1","73.0","2.8","18.2","2.1","8.7","2.1","4624","412","53.4","4.9","47.1","4.6","6.3","2.8","46.6","4.9","37.1","4.8","9.5","3.4","32.4","(X)","32.9","(X)","29.4","(X)","44296","2703","47367","2780","25000","8654","84423","51983","75804","79678","-","**","101023","66400","20972","15052","54095","18894","47286","2772","45000","11199","57568","3524","50047","4501","22341","2156","53200","2650","58955","2716","48826","2890","59951","2754","22908","4662","38533","10361","20979","1997","15938","3358","14330","1663","64167","34833","26371","6408","21472","2847","47321","26497","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22038","State House District 38 (2010), Louisiana","15163","415","71.3","1.8","27.2","1.9","0.1","0.2","0.2","0.2","0.0","0.2","0.1","0.1","1.1","0.6","0.4","1.0","71.0","2.0","5.3","1.4","30.9","1.3","39.3","1.7","24.4","1.5","10434","421","45.3","2.7","54.7","2.7","73.5","2.9","20.7","2.6","5.8","1.8","4729","373","60.1","3.7","55.7","3.9","4.4","1.8","39.9","3.7","37.0","3.6","2.8","1.3","37.8","(X)","42.5","(X)","26.1","(X)","33920","3095","41414","2406","19244","3144","-","**","120221","97570","-","**","-","**","17135","6171","11836","13546","41554","2445","35313","11507","53841","5300","37549","4286","18214","1700","43277","2042","44464","5485","42506","2797","54146","4640","16234","1722","35341","15376","13897","1629","12111","1642","11236","1469","72813","30134","17435","5141","17689","5199","10556","37528","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22039","State House District 39 (2010), Louisiana","18561","569","72.9","2.2","25.6","2.1","0.4","0.3","0.4","0.3","0.0","0.2","0.2","0.2","0.5","0.3","1.5","0.6","71.5","2.3","3.3","0.9","38.7","1.9","41.2","1.9","16.9","1.2","13447","533","48.8","2.7","51.2","2.7","73.3","2.3","21.1","2.1","5.6","1.4","5114","541","50.3","4.3","45.5","4.4","4.8","2.1","49.7","4.3","43.5","4.9","6.2","2.3","38.6","(X)","37.8","(X)","39.0","(X)","44882","2915","51694","2724","29913","3514","65625","56442","4352","21843","-","**","91667","214650","39423","43404","35417","23464","52150","2948","39583","23211","50794","6672","50617","3503","24754","2174","54797","3932","55625","6210","53941","5289","66627","3178","19289","3751","39982","12230","25142","3006","18777","2046","17258","2097","65083","15368","31122","3769","29222","4922","77778","24147","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22040","State House District 40 (2010), Louisiana","14393","469","43.7","1.6","55.4","1.7","0.0","0.2","0.1","0.1","0.0","0.2","0.1","0.1","0.8","0.5","1.0","0.5","42.6","1.6","3.2","0.9","34.8","2.3","37.8","2.0","24.2","1.7","9916","459","46.5","2.9","53.5","2.9","60.3","3.1","33.4","2.9","6.4","1.7","4477","434","56.1","4.1","51.2","4.3","4.9","2.2","43.9","4.1","37.3","4.1","6.5","3.0","39.0","(X)","41.6","(X)","33.2","(X)","26632","1417","41884","4311","17429","2290","-","**","-","**","-","**","-","**","50089","55718","55039","42320","41875","4213","16094","4653","33588","3856","34662","4897","17676","2081","36658","3159","29929","7900","40833","5127","54157","3430","14300","1078","30299","9940","12163","1108","11090","1362","10170","1090","53750","21811","15000","4361","12053","1548","55795","34864","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22041","State House District 41 (2010), Louisiana","15929","559","79.0","1.9","19.1","1.9","0.1","0.2","0.6","0.4","0.1","0.1","0.3","0.3","0.8","0.6","0.6","0.4","78.7","1.9","4.8","1.2","30.8","2.1","39.9","2.1","24.5","1.9","11287","476","43.0","2.8","57.0","2.8","76.5","2.6","18.7","2.4","4.9","1.1","4642","496","55.4","5.5","49.3","5.6","6.1","3.0","44.6","5.5","39.4","5.6","5.3","2.7","37.8","(X)","38.4","(X)","34.3","(X)","37219","2692","41459","2183","19890","5269","11389","1260","32857","99559","-","**","40375","13834","38354","3621","42042","27224","41334","2158","15174","6834","51465","2339","41239","3579","21188","3323","45290","2867","50233","5904","42859","4291","56101","5542","17008","3076","31354","6263","16392","2303","13449","1764","12454","1311","27205","13848","30797","11035","23684","13007","46900","7279","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22042","State House District 42 (2010), Louisiana","14938","523","75.9","2.1","22.6","1.9","0.2","0.2","0.2","0.2","0.0","0.2","0.8","0.4","0.4","0.3","1.3","0.4","75.2","2.0","4.4","1.2","33.2","2.1","39.5","2.2","22.9","1.6","10614","463","45.6","3.2","54.4","3.2","68.3","2.9","25.7","2.9","6.0","1.4","4324","421","52.8","5.0","46.4","5.0","6.4","2.6","47.2","5.0","40.3","4.7","6.9","2.8","39.3","(X)","39.4","(X)","35.9","(X)","33495","2995","38870","2240","22293","6281","36250","79783","12054","323307","-","**","35431","48055","64135","89548","35612","19408","39078","2286","22426","23054","42061","4796","38960","3462","22102","2483","40859","2768","42120","6447","40022","3400","51953","2626","19017","4062","29970","13782","17679","3706","14843","2081","13838","1269","43145","20394","22406","6435","20589","8183","40268","23094","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22043","State House District 43 (2010), Louisiana","20675","467","84.6","2.0","12.2","1.8","0.2","0.1","1.9","0.8","0.0","0.2","0.5","0.3","0.5","0.3","2.4","0.8","82.9","2.0","5.9","1.3","44.7","1.7","36.4","1.8","13.0","1.1","13649","507","54.7","2.3","45.3","2.3","75.3","3.0","18.3","2.9","6.4","1.6","7026","516","50.5","4.1","41.4","3.8","9.1","2.7","49.5","4.1","38.5","4.2","11.0","2.5","28.2","(X)","27.2","(X)","29.0","(X)","61816","2916","68021","4806","29934","10577","45673","7074","60787","27015","-","**","43750","75950","126875","76095","55096","13146","68508","4840","35852","8469","62335","6606","79668","4823","33997","4997","79076","4216","79347","8627","79006","4245","95981","5108","28612","5039","65230","20811","38451","3022","31918","3091","28698","2635","56132","12308","48423","5983","42634","10065","65029","14068","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22044","State House District 44 (2010), Louisiana","15364","553","34.3","2.1","63.9","2.1","0.4","0.3","0.2","0.3","0.0","0.2","0.7","0.6","0.6","0.3","1.5","0.8","33.6","2.3","8.1","1.5","36.2","2.6","37.8","2.5","17.9","1.4","9021","452","45.8","3.5","54.2","3.5","50.2","4.0","41.5","3.7","8.3","1.9","6343","538","46.4","4.4","41.6","4.5","4.8","1.7","53.6","4.4","45.1","4.8","8.5","3.2","43.1","(X)","43.9","(X)","39.9","(X)","27620","2342","38443","3301","23704","2245","13409","37285","-","**","-","**","44261","76580","41406","72562","43295","15363","38309","3454","17178","10392","30355","6924","33250","4090","20515","3225","35890","3785","25299","3061","41345","3914","53679","5991","19789","2027","32750","14061","16154","1953","12337","3016","11872","2571","23036","14536","22454","8345","17235","6791","35978","10949","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22045","State House District 45 (2010), Louisiana","19640","508","84.3","1.9","12.2","1.7","0.2","0.1","1.8","0.7","0.0","0.2","0.9","0.6","0.6","0.4","5.2","1.1","81.2","2.0","13.1","1.5","35.8","2.2","33.9","1.5","17.2","1.2","10807","501","43.4","2.9","56.6","2.9","69.6","2.9","22.3","2.7","8.1","1.8","8833","536","50.9","3.4","38.9","3.7","11.9","2.8","49.1","3.4","32.9","3.4","16.2","2.7","30.8","(X)","33.1","(X)","26.4","(X)","46056","3847","51692","2776","24606","2573","49000","32754","16585","21968","-","**","14781","10601","28125","14653","28894","17316","51295","2707","23533","4518","48044","6265","59673","9615","41836","9566","64443","4753","66897","11585","63849","4748","83519","5934","33095","5731","44303","10308","28270","3177","23886","2564","22079","1547","39180","9896","35130","4972","33903","4690","37413","15515","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22046","State House District 46 (2010), Louisiana","17107","583","65.9","1.5","32.5","1.5","0.3","0.3","0.6","0.1","0.0","0.2","0.2","0.2","0.4","0.3","0.7","0.3","65.4","1.6","5.1","1.4","33.9","1.5","41.0","1.5","19.9","1.1","12095","571","45.1","2.6","54.9","2.6","68.4","2.7","24.6","2.8","7.0","1.6","5012","494","48.6","4.9","43.4","4.8","5.2","2.7","51.4","4.9","44.4","4.6","6.9","2.7","42.9","(X)","42.6","(X)","40.5","(X)","40458","3763","50207","3118","23509","2823","56708","85048","7212","72401","-","**","6932","153729","27159","34344","45089","10595","50317","3219","35313","9038","49306","2892","49028","3804","22539","2364","49986","3867","46804","6938","54805","5721","65752","3596","21480","3477","45074","9777","20097","2684","15208","4390","13381","2060","38859","18902","25536","6454","20463","4514","57300","20371","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22047","State House District 47 (2010), Louisiana","15936","418","83.5","1.5","14.6","1.5","0.1","0.2","1.0","0.4","0.1","0.1","0.4","0.4","0.2","0.2","2.5","1.0","81.5","1.5","3.9","1.1","32.9","1.9","38.7","1.9","24.5","1.5","11418","473","46.5","2.6","53.5","2.6","73.3","3.0","21.3","2.5","5.4","1.6","4518","422","57.7","4.8","51.0","5.1","6.7","3.1","42.3","4.8","34.9","5.0","7.4","2.8","31.6","(X)","32.2","(X)","27.7","(X)","39803","2710","43481","4834","19706","5554","7396","66912","81653","19242","-","**","55526","41603","17000","8872","32159","42370","43825","4677","33698","28438","46490","5895","48832","5338","22590","2283","48912","4712","48610","10929","49122","5329","60397","3445","20994","6878","38669","7515","18811","3072","17510","2903","16583","1933","33192","8318","21709","7470","18044","5864","41577","7928","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22048","State House District 48 (2010), Louisiana","15000","477","66.7","2.1","30.1","2.4","0.4","0.5","1.6","0.6","0.0","0.2","0.2","0.2","0.9","0.4","2.5","0.7","64.8","2.1","6.1","1.2","32.7","1.8","40.1","2.2","21.2","1.5","10384","438","46.4","3.0","53.6","3.0","66.6","3.1","24.9","3.3","8.6","1.9","4616","453","56.2","4.8","51.8","4.6","4.4","2.5","43.8","4.8","36.9","4.6","7.0","3.1","31.3","(X)","32.9","(X)","26.1","(X)","40397","2572","48306","3929","21418","3699","41951","86607","51920","142444","-","**","53611","35027","19886","14669","53958","30652","48423","3918","31804","5531","48257","5734","45947","3405","26662","3247","50128","4092","49447","7197","50471","4387","68516","3990","18538","4393","36204","10361","20207","2414","16221","2504","15542","2479","19268","5118","31673","7900","26818","8231","52928","27613","(X)","(X)","(X)","(X)","(X)","(X)"
